Start,End,1,11,12
Thu Jan 25 09:30:00 2024,Thu Jan 25 10:00:00 2024,Design in the Anthropocene,,
Thu Jan 25 10:00:00 2024,Thu Jan 25 10:30:00 2024,Design in the Anthropocene,,
Thu Jan 25 10:30:00 2024,Thu Jan 25 11:00:00 2024,Design in the Anthropocene,,
Thu Jan 25 11:00:00 2024,Thu Jan 25 11:30:00 2024,Design in the Anthropocene,,
Thu Jan 25 11:30:00 2024,Thu Jan 25 12:00:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Jan 25 12:00:00 2024,Thu Jan 25 12:30:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Jan 25 12:30:00 2024,Thu Jan 25 13:00:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Jan 25 13:00:00 2024,Thu Jan 25 13:30:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Jan 25 13:30:00 2024,Thu Jan 25 16:00:00 2024,FREE,FREE,FREE
Thu Jan 25 16:00:00 2024,Thu Jan 25 16:30:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Jan 25 16:30:00 2024,Thu Jan 25 17:00:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Jan 25 17:00:00 2024,Thu Jan 25 17:30:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Jan 25 17:30:00 2024,Thu Jan 25 18:00:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Jan 25 18:00:00 2024,Fri Jan 26 08:30:00 2024,FREE,FREE,FREE
