Start,End,1,11,12
Thu Feb  8 10:30:00 2024,Thu Feb  8 11:00:00 2024,Design in the Anthropocene,,
Thu Feb  8 11:00:00 2024,Thu Feb  8 11:30:00 2024,Design in the Anthropocene,,
Thu Feb  8 11:30:00 2024,Thu Feb  8 12:00:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb  8 12:00:00 2024,Thu Feb  8 12:30:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb  8 12:30:00 2024,Thu Feb  8 13:00:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb  8 13:00:00 2024,Thu Feb  8 13:30:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb  8 13:30:00 2024,Thu Feb  8 16:00:00 2024,FREE,FREE,FREE
Thu Feb  8 16:00:00 2024,Thu Feb  8 16:30:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb  8 16:30:00 2024,Thu Feb  8 17:00:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb  8 17:00:00 2024,Thu Feb  8 17:30:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb  8 17:30:00 2024,Thu Feb  8 18:00:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb  8 18:00:00 2024,Fri Feb  9 08:30:00 2024,FREE,FREE,FREE
Fri Feb  9 08:30:00 2024,Fri Feb  9 09:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb  9 09:00:00 2024,Fri Feb  9 09:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb  9 09:30:00 2024,Fri Feb  9 10:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb  9 10:00:00 2024,Fri Feb  9 10:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb  9 10:30:00 2024,Fri Feb  9 11:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb  9 11:00:00 2024,Fri Feb  9 11:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb  9 11:30:00 2024,Fri Feb  9 12:00:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb  9 12:00:00 2024,Fri Feb  9 12:30:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb  9 12:30:00 2024,Fri Feb  9 13:00:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb  9 13:00:00 2024,Fri Feb  9 13:30:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb  9 13:30:00 2024,Tue Feb 13 09:00:00 2024,FREE,FREE,FREE
Tue Feb 13 09:00:00 2024,Tue Feb 13 09:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Feb 13 09:30:00 2024,Tue Feb 13 10:00:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Feb 13 10:00:00 2024,Tue Feb 13 10:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Feb 13 10:30:00 2024,Tue Feb 13 11:00:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Feb 13 11:00:00 2024,Tue Feb 13 11:30:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Feb 13 11:30:00 2024,Tue Feb 13 12:00:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Feb 13 12:00:00 2024,Tue Feb 13 13:30:00 2024,FREE,FREE,FREE
Tue Feb 13 13:30:00 2024,Tue Feb 13 14:00:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Feb 13 14:00:00 2024,Tue Feb 13 14:30:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Feb 13 14:30:00 2024,Tue Feb 13 15:00:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Feb 13 15:00:00 2024,Wed Feb 14 10:30:00 2024,FREE,FREE,FREE
Wed Feb 14 10:30:00 2024,Wed Feb 14 11:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 14 11:00:00 2024,Wed Feb 14 11:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 14 11:30:00 2024,Wed Feb 14 12:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 14 12:00:00 2024,Wed Feb 14 12:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 14 12:30:00 2024,Wed Feb 14 13:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 14 13:00:00 2024,Wed Feb 14 13:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 14 13:30:00 2024,Thu Feb 15 08:30:00 2024,FREE,FREE,FREE
Thu Feb 15 08:30:00 2024,Thu Feb 15 09:00:00 2024,Design in the Anthropocene,,
Thu Feb 15 09:00:00 2024,Thu Feb 15 09:30:00 2024,Design in the Anthropocene,,
Thu Feb 15 09:30:00 2024,Thu Feb 15 10:00:00 2024,Design in the Anthropocene,,
Thu Feb 15 10:00:00 2024,Thu Feb 15 10:30:00 2024,Design in the Anthropocene,,
Thu Feb 15 10:30:00 2024,Thu Feb 15 11:00:00 2024,Design in the Anthropocene,,
Thu Feb 15 11:00:00 2024,Thu Feb 15 11:30:00 2024,Design in the Anthropocene,,
Thu Feb 15 11:30:00 2024,Thu Feb 15 12:00:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb 15 12:00:00 2024,Thu Feb 15 12:30:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb 15 12:30:00 2024,Thu Feb 15 13:00:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb 15 13:00:00 2024,Thu Feb 15 13:30:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb 15 13:30:00 2024,Thu Feb 15 16:00:00 2024,FREE,FREE,FREE
Thu Feb 15 16:00:00 2024,Thu Feb 15 16:30:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb 15 16:30:00 2024,Thu Feb 15 17:00:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb 15 17:00:00 2024,Thu Feb 15 17:30:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb 15 17:30:00 2024,Thu Feb 15 18:00:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb 15 18:00:00 2024,Fri Feb 16 08:30:00 2024,FREE,FREE,FREE
Fri Feb 16 08:30:00 2024,Fri Feb 16 09:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb 16 09:00:00 2024,Fri Feb 16 09:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb 16 09:30:00 2024,Fri Feb 16 10:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb 16 10:00:00 2024,Fri Feb 16 10:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb 16 10:30:00 2024,Fri Feb 16 11:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb 16 11:00:00 2024,Fri Feb 16 11:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb 16 11:30:00 2024,Fri Feb 16 12:00:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb 16 12:00:00 2024,Fri Feb 16 12:30:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb 16 12:30:00 2024,Fri Feb 16 13:00:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb 16 13:00:00 2024,Fri Feb 16 13:30:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb 16 13:30:00 2024,Mon Feb 19 09:00:00 2024,FREE,FREE,FREE
Mon Feb 19 09:00:00 2024,Mon Feb 19 09:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Feb 19 09:30:00 2024,Mon Feb 19 10:00:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Feb 19 10:00:00 2024,Mon Feb 19 10:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Feb 19 10:30:00 2024,Mon Feb 19 11:00:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Feb 19 11:00:00 2024,Mon Feb 19 11:30:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Feb 19 11:30:00 2024,Mon Feb 19 12:00:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Feb 19 12:00:00 2024,Mon Feb 19 15:00:00 2024,FREE,FREE,FREE
Mon Feb 19 15:00:00 2024,Mon Feb 19 15:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb 19 15:30:00 2024,Mon Feb 19 16:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb 19 16:00:00 2024,Mon Feb 19 16:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb 19 16:30:00 2024,Mon Feb 19 17:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb 19 17:00:00 2024,Mon Feb 19 17:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb 19 17:30:00 2024,Mon Feb 19 18:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb 19 18:00:00 2024,Tue Feb 20 09:00:00 2024,FREE,FREE,FREE
Tue Feb 20 09:00:00 2024,Tue Feb 20 09:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Feb 20 09:30:00 2024,Tue Feb 20 10:00:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Feb 20 10:00:00 2024,Tue Feb 20 10:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Feb 20 10:30:00 2024,Tue Feb 20 11:00:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Feb 20 11:00:00 2024,Tue Feb 20 11:30:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Feb 20 11:30:00 2024,Tue Feb 20 12:00:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Feb 20 12:00:00 2024,Tue Feb 20 13:30:00 2024,FREE,FREE,FREE
Tue Feb 20 13:30:00 2024,Tue Feb 20 14:00:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Feb 20 14:00:00 2024,Tue Feb 20 14:30:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Feb 20 14:30:00 2024,Tue Feb 20 15:00:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Feb 20 15:00:00 2024,Wed Feb 21 10:30:00 2024,FREE,FREE,FREE
Wed Feb 21 10:30:00 2024,Wed Feb 21 11:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 21 11:00:00 2024,Wed Feb 21 11:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 21 11:30:00 2024,Wed Feb 21 12:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 21 12:00:00 2024,Wed Feb 21 12:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 21 12:30:00 2024,Wed Feb 21 13:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 21 13:00:00 2024,Wed Feb 21 13:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 21 13:30:00 2024,Thu Feb 22 08:30:00 2024,FREE,FREE,FREE
Thu Feb 22 08:30:00 2024,Thu Feb 22 09:00:00 2024,Design in the Anthropocene,,
Thu Feb 22 09:00:00 2024,Thu Feb 22 09:30:00 2024,Design in the Anthropocene,,
Thu Feb 22 09:30:00 2024,Thu Feb 22 10:00:00 2024,Design in the Anthropocene,,
Thu Feb 22 10:00:00 2024,Thu Feb 22 10:30:00 2024,Design in the Anthropocene,,
Thu Feb 22 10:30:00 2024,Thu Feb 22 11:00:00 2024,Design in the Anthropocene,,
Thu Feb 22 11:00:00 2024,Thu Feb 22 11:30:00 2024,Design in the Anthropocene,,
Thu Feb 22 11:30:00 2024,Thu Feb 22 12:00:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb 22 12:00:00 2024,Thu Feb 22 12:30:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb 22 12:30:00 2024,Thu Feb 22 13:00:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb 22 13:00:00 2024,Thu Feb 22 13:30:00 2024,Programming Language Concepts,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 ,Programming Language Concepts 11:30 AM-01:30 PM ROOM: Think Tank 4 
Thu Feb 22 13:30:00 2024,Thu Feb 22 16:00:00 2024,FREE,FREE,FREE
Thu Feb 22 16:00:00 2024,Thu Feb 22 16:30:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb 22 16:30:00 2024,Thu Feb 22 17:00:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb 22 17:00:00 2024,Thu Feb 22 17:30:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb 22 17:30:00 2024,Thu Feb 22 18:00:00 2024,,,Database Systems 04:00 PM-06:00 PM ROOM: Cohort Classroom 14 (2.507
Thu Feb 22 18:00:00 2024,Fri Feb 23 08:30:00 2024,FREE,FREE,FREE
Fri Feb 23 08:30:00 2024,Fri Feb 23 09:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb 23 09:00:00 2024,Fri Feb 23 09:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb 23 09:30:00 2024,Fri Feb 23 10:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb 23 10:00:00 2024,Fri Feb 23 10:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb 23 10:30:00 2024,Fri Feb 23 11:00:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb 23 11:00:00 2024,Fri Feb 23 11:30:00 2024,Capstone 2,Capstone 2 08:30 AM-11:30 AM ROOM: TBC,Capstone 2 08:30 AM-11:30 AM ROOM: TBC
Fri Feb 23 11:30:00 2024,Fri Feb 23 12:00:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb 23 12:00:00 2024,Fri Feb 23 12:30:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb 23 12:30:00 2024,Fri Feb 23 13:00:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb 23 13:00:00 2024,Fri Feb 23 13:30:00 2024,Deep Learning,Deep Learning 11:30 AM-01:30 PM ROOM: Think Tank 7 (1.409),
Fri Feb 23 13:30:00 2024,Mon Feb 26 09:00:00 2024,FREE,FREE,FREE
Mon Feb 26 09:00:00 2024,Mon Feb 26 09:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Feb 26 09:30:00 2024,Mon Feb 26 10:00:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Feb 26 10:00:00 2024,Mon Feb 26 10:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Feb 26 10:30:00 2024,Mon Feb 26 11:00:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Feb 26 11:00:00 2024,Mon Feb 26 11:30:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Feb 26 11:30:00 2024,Mon Feb 26 12:00:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Feb 26 12:00:00 2024,Mon Feb 26 15:00:00 2024,FREE,FREE,FREE
Mon Feb 26 15:00:00 2024,Mon Feb 26 15:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb 26 15:30:00 2024,Mon Feb 26 16:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb 26 16:00:00 2024,Mon Feb 26 16:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb 26 16:30:00 2024,Mon Feb 26 17:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb 26 17:00:00 2024,Mon Feb 26 17:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb 26 17:30:00 2024,Mon Feb 26 18:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Feb 26 18:00:00 2024,Tue Feb 27 09:00:00 2024,FREE,FREE,FREE
Tue Feb 27 09:00:00 2024,Tue Feb 27 09:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Feb 27 09:30:00 2024,Tue Feb 27 10:00:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Feb 27 10:00:00 2024,Tue Feb 27 10:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),
Tue Feb 27 10:30:00 2024,Tue Feb 27 11:00:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Feb 27 11:00:00 2024,Tue Feb 27 11:30:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Feb 27 11:30:00 2024,Tue Feb 27 12:00:00 2024,,,Database Systems 10:30 AM-12:00 PM ROOM: Lecture Theatre 5 (2.505)
Tue Feb 27 12:00:00 2024,Tue Feb 27 13:30:00 2024,FREE,FREE,FREE
Tue Feb 27 13:30:00 2024,Tue Feb 27 14:00:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Feb 27 14:00:00 2024,Tue Feb 27 14:30:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Feb 27 14:30:00 2024,Tue Feb 27 15:00:00 2024,Programming Language Concepts,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 ,Programming Language Concepts 01:30 PM-03:00 PM ROOM: Think Tank 4 
Tue Feb 27 15:00:00 2024,Wed Feb 28 10:30:00 2024,FREE,FREE,FREE
Wed Feb 28 10:30:00 2024,Wed Feb 28 11:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 28 11:00:00 2024,Wed Feb 28 11:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 28 11:30:00 2024,Wed Feb 28 12:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 28 12:00:00 2024,Wed Feb 28 12:30:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
Wed Feb 28 12:30:00 2024,Wed Feb 28 13:00:00 2024,Capstone 2,Capstone 2 10:30 AM-01:30 PM ROOM: TBC,Capstone 2 10:30 AM-01:30 PM ROOM: TBC
